Target Distance: 200, Step Size: 20
118: (x,y)=(39.6401,3.13305)
119: (x,y)=(40.7294,4.81039)
120: (x,y)=(41.8765,6.4487)
121: (x,y)=(39.896,6.17035)
122: (x,y)=(39.1793,8.03751)
123: (x,y)=(40.1182,6.27162)
124: (x,y)=(38.1258,6.09731)
125: (x,y)=(37.2178,4.31529)
126: (x,y)=(38.9671,5.28491)
127: (x,y)=(40.1142,6.92322)
128: (x,y)=(41.0222,8.70523)
129: (x,y)=(39.2246,7.82849)
130: (x,y)=(41.0918,8.54522)
131: (x,y)=(43.0143,7.99395)
132: (x,y)=(43.7635,6.13958)
133: (x,y)=(41.9364,6.95305)
134: (x,y)=(42.7499,5.12596)
135: (x,y)=(44.4991,6.09558)
136: (x,y)=(46.3785,6.77962)
137: (x,y)=(47.0626,8.65901)
138: (x,y)=(47.5464,10.5996)
139: (x,y)=(45.9921,11.8582)
140: (x,y)=(47.758,10.9193)
141: (x,y)=(45.8355,11.4706)
142: (x,y)=(46.9826,13.1089)
143: (x,y)=(47.3299,11.1393)
144: (x,y)=(48.2996,12.8885)
145: (x,y)=(49.9576,14.0069)
146: (x,y)=(49.5418,12.0506)
147: (x,y)=(51.5406,12.1204)
148: (x,y)=(52.5707,13.8347)
149: (x,y)=(53.5403,12.0855)
150: (x,y)=(51.943,13.2891)
151: (x,y)=(51.4592,11.3485)
152: (x,y)=(53.1365,12.4378)
153: (x,y)=(55.0853,12.8877)
154: (x,y)=(53.8266,14.442)
155: (x,y)=(51.8703,14.0262)
156: (x,y)=(52.7471,15.8238)
157: (x,y)=(52.8866,17.8189)
158: (x,y)=(54.7276,17.0374)
159: (x,y)=(52.747,17.3158)
160: (x,y)=(53.5923,15.5032)
161: (x,y)=(52.0602,14.2176)
162: (x,y)=(53.9146,14.9668)
163: (x,y)=(52.1487,14.0279)
164: (x,y)=(53.7667,12.8523)
165: (x,y)=(53.941,10.8599)
166: (x,y)=(54.2539,8.88451)
167: (x,y)=(55.2235,10.6338)
168: (x,y)=(53.8852,9.14746)
169: (x,y)=(54.9451,10.8436)
170: (x,y)=(54.0061,9.07766)
171: (x,y)=(52.31,10.1375)
172: (x,y)=(54.31,10.1375)
173: (x,y)=(53.0514,8.58321)
174: (x,y)=(51.3741,9.67249)
175: (x,y)=(51.409,7.67279)
176: (x,y)=(52.7211,9.18221)
177: (x,y)=(52.3395,11.1455)
178: (x,y)=(54.3318,11.3198)
179: (x,y)=(54.8157,9.37919)
180: (x,y)=(54.7808,7.37949)
181: (x,y)=(55.2307,5.43075)
182: (x,y)=(56.2307,7.1628)
183: (x,y)=(56.7483,9.09465)
184: (x,y)=(57.6873,7.32876)
185: (x,y)=(56.7177,9.078)
186: (x,y)=(55.7787,10.8439)
187: (x,y)=(53.8091,11.1912)
188: (x,y)=(55.4474,12.3383)
189: (x,y)=(55.4125,14.338)
190: (x,y)=(55.7254,12.3627)
191: (x,y)=(53.8343,11.7115)
192: (x,y)=(55.5487,10.6814)
193: (x,y)=(57.5183,10.3342)
194: (x,y)=(58.2675,12.1885)
195: (x,y)=(58.5458,10.208)
196: (x,y)=(57.2337,11.7174)
197: (x,y)=(55.4361,10.8407)
198: (x,y)=(53.6235,11.6859)
199: (x,y)=(54.1074,9.74531)
200: (x,y)=(52.1586,9.2954)
201: (x,y)=(52.6425,11.236)
202: (x,y)=(51.2282,9.82178)
203: (x,y)=(52.6425,8.40757)
204: (x,y)=(54.3917,9.37719)
205: (x,y)=(56.0878,8.31735)
206: (x,y)=(56.3315,10.3024)
207: (x,y)=(55.046,8.77035)
208: (x,y)=(53.0609,8.52661)
209: (x,y)=(53.1307,6.52783)
210: (x,y)=(52.9912,4.5327)
211: (x,y)=(54.8182,5.34618)
212: (x,y)=(54.0048,7.17327)
213: (x,y)=(53.9699,9.17296)
214: (x,y)=(55.797,8.35949)
215: (x,y)=(55.3131,10.3001)
216: (x,y)=(56.3432,12.0144)
217: (x,y)=(57.5468,10.4171)
218: (x,y)=(57.6166,8.41836)
219: (x,y)=(58.735,6.76029)
220: (x,y)=(57.4494,8.29238)
221: (x,y)=(58.2629,10.1195)
222: (x,y)=(60.2553,10.2938)
223: (x,y)=(61.7416,8.95552)
224: (x,y)=(62.4908,7.10115)
225: (x,y)=(62.4559,9.10085)
226: (x,y)=(62.7688,11.0762)
227: (x,y)=(64.6231,10.327)
228: (x,y)=(65.2412,8.4249)
229: (x,y)=(66.7039,7.0609)
230: (x,y)=(65.2176,8.39916)
231: (x,y)=(67.1494,7.88152)
232: (x,y)=(65.1543,7.74201)
233: (x,y)=(67.1494,7.6025)
234: (x,y)=(68.4877,6.11621)
235: (x,y)=(70.1458,7.23459)
236: (x,y)=(72.0001,6.48538)
237: (x,y)=(71.2509,4.63101)
238: (x,y)=(72.7603,5.94313)
239: (x,y)=(72.7952,3.94344)
240: (x,y)=(74.6079,4.78867)
241: (x,y)=(76.4622,4.03946)
242: (x,y)=(74.4671,3.89995)
243: (x,y)=(75.5269,2.20385)
244: (x,y)=(74.1376,0.76517)
245: (x,y)=(74.0678,-1.23361)
246: (x,y)=(74.5517,-3.1742)
247: (x,y)=(73.8025,-1.31984)
248: (x,y)=(73.1844,-3.22195)
249: (x,y)=(71.305,-2.53791)
250: (x,y)=(70.9922,-4.51328)
251: (x,y)=(72.5016,-3.20117)
252: (x,y)=(70.7523,-2.23155)
253: (x,y)=(68.8298,-1.68027)
254: (x,y)=(69.2797,0.268468)
255: (x,y)=(67.8904,-1.17021)
256: (x,y)=(67.9602,-3.16899)
257: (x,y)=(66.4281,-4.45457)
258: (x,y)=(64.601,-5.26804)
259: (x,y)=(63.983,-7.17016)
260: (x,y)=(65.7489,-6.23121)
261: (x,y)=(65.8187,-8.22999)
262: (x,y)=(65.2006,-6.32788)
263: (x,y)=(63.3463,-5.57867)
264: (x,y)=(65.2257,-4.89463)
265: (x,y)=(63.4598,-5.83357)
266: (x,y)=(64.011,-7.75609)
267: (x,y)=(62.5724,-9.14541)
268: (x,y)=(61.7909,-10.9864)
269: (x,y)=(60.6153,-9.36839)
270: (x,y)=(58.938,-10.4577)
271: (x,y)=(60.0564,-8.79959)
272: (x,y)=(58.1158,-8.31575)
273: (x,y)=(57.4647,-10.2068)
274: (x,y)=(55.5014,-9.82516)
275: (x,y)=(54.3542,-8.18686)
276: (x,y)=(54.5633,-10.1759)
277: (x,y)=(55.3125,-12.0303)
278: (x,y)=(57.3122,-12.0652)
279: (x,y)=(55.6349,-10.9759)
280: (x,y)=(57.4008,-11.9148)
281: (x,y)=(55.402,-11.9846)
282: (x,y)=(57.3146,-12.5694)
283: (x,y)=(58.9727,-13.6878)
284: (x,y)=(60.8952,-13.1365)
285: (x,y)=(59.1293,-12.1976)
286: (x,y)=(61.0203,-12.8487)
287: (x,y)=(60.1124,-14.6307)
288: (x,y)=(60.4252,-16.6061)
289: (x,y)=(59.1939,-18.1821)
290: (x,y)=(60.1635,-16.4329)
291: (x,y)=(61.5777,-17.8471)
292: (x,y)=(59.5887,-17.638)
293: (x,y)=(60.4654,-15.8404)
294: (x,y)=(62.3064,-16.6219)
295: (x,y)=(61.3368,-18.3711)
296: (x,y)=(59.6048,-19.3711)
297: (x,y)=(58.0287,-20.6025)
298: (x,y)=(56.1877,-19.821)
299: (x,y)=(56.6036,-17.8647)
300: (x,y)=(57.1212,-19.7965)
301: (x,y)=(56.8429,-17.816)
302: (x,y)=(55.6957,-16.1777)
303: (x,y)=(53.9636,-17.1777)
304: (x,y)=(55.082,-15.5196)
305: (x,y)=(53.9928,-13.8423)
306: (x,y)=(52.2784,-12.8122)
307: (x,y)=(54.2675,-12.6032)
308: (x,y)=(55.3859,-10.9451)
309: (x,y)=(56.8486,-12.3091)
310: (x,y)=(57.9669,-13.9672)
311: (x,y)=(56.5283,-12.5778)
312: (x,y)=(57.9669,-11.1885)
313: (x,y)=(58.7804,-13.0156)
314: (x,y)=(58.1957,-14.9282)
315: (x,y)=(59.75,-13.6696)
316: (x,y)=(58.386,-12.2069)
317: (x,y)=(56.4454,-11.723)
318: (x,y)=(58.4208,-12.0359)
319: (x,y)=(57.4208,-13.7679)
320: (x,y)=(57.6991,-15.7485)
321: (x,y)=(56.1018,-14.5449)
322: (x,y)=(54.4057,-15.6047)
323: (x,y)=(52.4494,-16.0205)
324: (x,y)=(50.8111,-17.1677)
325: (x,y)=(52.4292,-15.9921)
326: (x,y)=(53.5184,-14.3148)
327: (x,y)=(54.2352,-16.1819)
328: (x,y)=(53.3272,-14.3999)
329: (x,y)=(55.0045,-13.3106)
330: (x,y)=(53.8862,-11.6526)
331: (x,y)=(55.3248,-13.0419)
332: (x,y)=(57.2042,-12.3578)
333: (x,y)=(57.6881,-14.2984)
334: (x,y)=(58.9736,-12.7663)
335: (x,y)=(56.9983,-13.0792)
336: (x,y)=(55.0495,-12.6293)
337: (x,y)=(53.9024,-14.2676)
338: (x,y)=(52.9634,-16.0335)
339: (x,y)=(51.0228,-16.5173)
340: (x,y)=(49.0596,-16.899)
341: (x,y)=(47.2052,-16.1497)
342: (x,y)=(47.3099,-18.147)
343: (x,y)=(47.1356,-20.1394)
344: (x,y)=(45.1602,-19.8265)
345: (x,y)=(44.3467,-21.6536)
346: (x,y)=(45.8561,-22.9657)
347: (x,y)=(46.6054,-24.8201)
348: (x,y)=(48.2827,-25.9094)
349: (x,y)=(49.3425,-27.6055)
350: (x,y)=(51.1401,-26.7287)
351: (x,y)=(53.0073,-27.4455)
352: (x,y)=(51.0122,-27.585)
353: (x,y)=(49.2301,-26.677)
354: (x,y)=(51.2055,-26.3641)
355: (x,y)=(52.9548,-27.3338)
356: (x,y)=(51.7792,-25.7157)
357: (x,y)=(49.8473,-25.1981)
358: (x,y)=(51.6132,-26.137)
359: (x,y)=(51.8223,-28.1261)
360: (x,y)=(50.733,-26.4487)
361: (x,y)=(48.9354,-27.3255)
362: (x,y)=(48.5538,-29.2887)
363: (x,y)=(48.6933,-31.2839)
364: (x,y)=(47.3293,-32.7466)
365: (x,y)=(48.0461,-30.8794)
366: (x,y)=(48.7953,-32.7338)
367: (x,y)=(49.6405,-30.9212)
368: (x,y)=(47.7279,-31.5059)
369: (x,y)=(49.5823,-32.2551)
370: (x,y)=(49.6172,-30.2554)
371: (x,y)=(49.6521,-32.2551)
372: (x,y)=(51.5647,-31.6704)
373: (x,y)=(53.0968,-32.9559)
374: (x,y)=(53.6815,-31.0433)
375: (x,y)=(53.6117,-33.0421)
376: (x,y)=(55.5523,-33.526)
377: (x,y)=(56.6995,-35.1643)
378: (x,y)=(58.6627,-35.5459)
379: (x,y)=(57.7547,-33.7639)
380: (x,y)=(55.8141,-33.28)
381: (x,y)=(57.1781,-34.7427)
382: (x,y)=(58.5675,-33.304)
383: (x,y)=(56.5784,-33.5131)
384: (x,y)=(54.5933,-33.7568)
385: (x,y)=(53.8119,-35.5979)
386: (x,y)=(54.7815,-33.8486)
387: (x,y)=(52.859,-34.3999)
388: (x,y)=(54.8153,-33.9841)
389: (x,y)=(55.9045,-32.3067)
390: (x,y)=(55.5917,-30.3313)
391: (x,y)=(57.0544,-28.9674)
392: (x,y)=(55.2273,-29.7808)
393: (x,y)=(57.1498,-29.2295)
394: (x,y)=(56.09,-27.5335)
395: (x,y)=(55.1203,-25.7842)
396: (x,y)=(57.1176,-25.6795)
397: (x,y)=(57.0478,-27.6783)
398: (x,y)=(56.2026,-25.8657)
399: (x,y)=(54.262,-25.3819)
400: (x,y)=(52.5127,-24.4122)
401: (x,y)=(54.067,-25.6709)
402: (x,y)=(52.8915,-27.2889)
403: (x,y)=(53.1352,-29.274)
404: (x,y)=(54.5494,-27.8598)
405: (x,y)=(53.1601,-29.2985)
406: (x,y)=(53.7448,-31.2111)
407: (x,y)=(52.4593,-29.679)
408: (x,y)=(50.6934,-28.7401)
409: (x,y)=(48.7708,-29.2913)
410: (x,y)=(50.7559,-29.0476)
411: (x,y)=(51.6012,-27.235)
412: (x,y)=(52.1859,-25.3224)
413: (x,y)=(53.0312,-27.135)
414: (x,y)=(54.091,-25.4389)
415: (x,y)=(54.775,-23.5595)
416: (x,y)=(54.6007,-21.5671)
417: (x,y)=(53.8515,-23.4215)
418: (x,y)=(52.1195,-22.4215)
419: (x,y)=(53.7578,-21.2743)
420: (x,y)=(53.2401,-19.3425)
421: (x,y)=(55.0377,-18.4657)
422: (x,y)=(53.9193,-16.8077)
423: (x,y)=(53.9193,-14.8077)
424: (x,y)=(54.0588,-16.8028)
425: (x,y)=(56.0342,-17.1157)
426: (x,y)=(54.285,-18.0853)
427: (x,y)=(54.7349,-16.1365)
428: (x,y)=(56.6981,-15.7549)
429: (x,y)=(56.0141,-17.6343)
430: (x,y)=(55.5302,-19.5749)
431: (x,y)=(57.5226,-19.7492)
432: (x,y)=(59.3497,-20.5627)
433: (x,y)=(59.0714,-22.5432)
434: (x,y)=(61.0201,-22.0933)
435: (x,y)=(62.6782,-23.2117)
436: (x,y)=(60.9821,-24.2715)
437: (x,y)=(62.9772,-24.411)
438: (x,y)=(63.1515,-22.4187)
439: (x,y)=(62.5668,-20.506)
440: (x,y)=(60.6647,-21.1241)
441: (x,y)=(58.6674,-21.0194)
442: (x,y)=(58.3546,-22.9948)
443: (x,y)=(60.0126,-21.8764)
444: (x,y)=(58.5739,-23.2657)
445: (x,y)=(60.0602,-24.604)
446: (x,y)=(60.13,-22.6052)
447: (x,y)=(58.1376,-22.4309)
448: (x,y)=(60.13,-22.2566)
449: (x,y)=(59.0117,-20.5985)
450: (x,y)=(58.4269,-22.5111)
451: (x,y)=(56.4637,-22.8927)
452: (x,y)=(58.343,-22.2087)
453: (x,y)=(60.2656,-21.6574)
454: (x,y)=(58.8269,-20.2681)
455: (x,y)=(59.7349,-18.4861)
456: (x,y)=(57.7458,-18.6951)
457: (x,y)=(57.7109,-16.6954)
458: (x,y)=(56.2722,-15.3061)
459: (x,y)=(56.5506,-13.3256)
460: (x,y)=(57.9893,-14.7149)
461: (x,y)=(58.1636,-12.7225)
462: (x,y)=(59.8409,-11.6332)
463: (x,y)=(61.153,-10.1238)
464: (x,y)=(61.3968,-12.1089)
465: (x,y)=(62.8595,-10.7449)
466: (x,y)=(63.8896,-9.03058)
467: (x,y)=(63.4057,-10.9712)
468: (x,y)=(61.4931,-11.5559)
469: (x,y)=(60.5235,-9.80668)
470: (x,y)=(60.2451,-7.82614)
471: (x,y)=(62.1577,-8.41089)
472: (x,y)=(63.755,-9.61452)
473: (x,y)=(64.3398,-11.5271)
474: (x,y)=(63.1361,-9.92985)
475: (x,y)=(64.8682,-8.92985)
476: (x,y)=(63.1721,-9.98969)
477: (x,y)=(63.2419,-7.99091)
478: (x,y)=(61.2786,-8.37253)
479: (x,y)=(59.4515,-9.186)
480: (x,y)=(60.9142,-10.55)
481: (x,y)=(62.6801,-9.61106)
482: (x,y)=(60.8391,-10.3925)
483: (x,y)=(62.8282,-10.6016)
484: (x,y)=(61.7389,-12.2789)
485: (x,y)=(62.886,-13.9172)
486: (x,y)=(62.4022,-15.8578)
487: (x,y)=(61.2551,-17.4961)
488: (x,y)=(60.3161,-15.7302)
489: (x,y)=(59.4081,-13.9482)
490: (x,y)=(58.4385,-12.199)
491: (x,y)=(56.4412,-12.3036)
492: (x,y)=(58.1733,-11.3036)
493: (x,y)=(56.21,-11.6853)
494: (x,y)=(55.4608,-13.5396)
495: (x,y)=(57.3834,-14.0909)
496: (x,y)=(55.4201,-13.7093)
497: (x,y)=(56.0381,-11.8072)
498: (x,y)=(54.9783,-10.1111)
499: (x,y)=(56.8577,-10.7951)
500: (x,y)=(54.9089,-11.245)
501: (x,y)=(56.4632,-12.5037)
502: (x,y)=(57.0145,-14.4262)
503: (x,y)=(55.0827,-13.9085)
504: (x,y)=(55.43,-15.8782)
505: (x,y)=(56.6055,-14.2601)
506: (x,y)=(56.2927,-16.2355)
507: (x,y)=(55.8768,-14.2792)
508: (x,y)=(55.4952,-12.3159)
509: (x,y)=(57.1132,-11.1404)
510: (x,y)=(55.9096,-9.54311)
511: (x,y)=(54.3123,-8.33948)
512: (x,y)=(55.1258,-10.1666)
513: (x,y)=(55.1607,-12.1663)
514: (x,y)=(56.8928,-11.1663)
515: (x,y)=(57.3086,-13.1226)
516: (x,y)=(57.5523,-15.1077)
517: (x,y)=(56.8356,-13.2405)
518: (x,y)=(56.6961,-15.2356)
519: (x,y)=(57.635,-13.4697)
520: (x,y)=(55.7807,-12.7205)
521: (x,y)=(57.737,-12.3047)
522: (x,y)=(55.9394,-13.1814)
523: (x,y)=(55.0626,-11.3838)
524: (x,y)=(53.0675,-11.2443)
525: (x,y)=(53.4148,-13.2139)
526: (x,y)=(54.6184,-14.8112)
527: (x,y)=(54.6882,-12.8124)
528: (x,y)=(53.0302,-11.694)
529: (x,y)=(51.3158,-12.7241)
530: (x,y)=(49.3353,-12.4458)
531: (x,y)=(47.3947,-12.9296)
532: (x,y)=(46.4251,-11.1804)
533: (x,y)=(48.3883,-11.562)
534: (x,y)=(48.7699,-13.5253)
535: (x,y)=(47.4844,-15.0573)
536: (x,y)=(45.5525,-14.5397)
537: (x,y)=(43.9142,-15.6869)
538: (x,y)=(42.9142,-13.9548)
539: (x,y)=(44.4236,-12.6427)
540: (x,y)=(44.1108,-10.6673)
541: (x,y)=(42.2698,-11.4488)
542: (x,y)=(44.2503,-11.1704)
543: (x,y)=(42.5922,-12.2888)
544: (x,y)=(41.3886,-13.8861)
545: (x,y)=(40.5433,-15.6987)
546: (x,y)=(42.4659,-15.1474)
547: (x,y)=(40.5865,-15.8315)
548: (x,y)=(39.0544,-14.5459)
549: (x,y)=(40.34,-13.0138)
550: (x,y)=(42.34,-13.0138)
551: (x,y)=(44.2625,-13.5651)
552: (x,y)=(46.2613,-13.4953)
553: (x,y)=(45.8114,-15.444)
554: (x,y)=(46.8712,-17.1401)
555: (x,y)=(47.9896,-15.482)
556: (x,y)=(46.9298,-13.7859)
557: (x,y)=(48.9188,-13.5769)
558: (x,y)=(50.8751,-13.9927)
559: (x,y)=(48.8827,-14.167)
560: (x,y)=(49.7595,-15.9646)
561: (x,y)=(48.3701,-14.5259)
562: (x,y)=(49.7341,-13.0632)
563: (x,y)=(49.5946,-15.0584)
564: (x,y)=(50.713,-13.4003)
565: (x,y)=(51.331,-15.3024)
566: (x,y)=(51.0182,-13.327)
567: (x,y)=(52.8002,-12.419)
568: (x,y)=(54.7853,-12.6628)
569: (x,y)=(54.8899,-14.66)
